Root word,Word,Phonetic,Type,Vietnamese meaning
ACCIDENTALLY,Accidentally,/ˌæksɪˈdentəli/,adv,Vô tình; tình cờ
ADVANCE,Advance,/əd'væns/,n,Tiến bộ
ADVANCE,Advanced,/əd'vænst/,a,Trình độ cao; tiên tiến
ADVANCE,Advancement,/ədˈvænsmənt/,n,Sự thăng tiến
ADVENT,Advent,/ˈædvent/,n,Sự ra đời
ADVERTISING,Advertising,/ˈædvərtaɪzɪŋ/,n,Việc quảng cáo
ADVERTISING,Advertisement,/ˌædvər'taɪzmənt/,n,Bài quảng cáo
ADVERTISING,Advertise,/ˈædvərtaɪz/,v,Quảng cáo
ADVERTISING,Advertiser,/ˈædvərtaɪzər/,n,Người quảng cáo
AFFORD,Afford,/ə'fɔːrd/,v,Đủ khả năng (về tài chính để làm gì)
AFFORD,Affordable,/ə'fɔːrdəbl/,a,Giá cả phải chăng
AGGRESSIVE,Aggressive,/əˈɡresɪv/,a,Hung dữ; hung hăng
AGGRESSIVE,Aggression,/ə'greʃn/,n,Sự hung hăng
AGGRESSIVE,Aggressively,/ə'gresɪvli/,adv,Quyết liệt; hung hăng
ALIEN,Alien,/ˈeɪliən/,n,Người ngoài hành tinh
ALTERNATIVE,Alternative,/ɔːl'tɜːrnətɪv/,n,Sự lựa chọn thay thế
AMUSEMENT,Amusement,/ə'mjuːzmənt/,n,Sự thích thú; trò tiêu khiển
AMUSEMENT PARK,Amusement park,/ə'mjuːzmənt pɑːrk/,np,Công viên giải trí
ANCIENT,Ancient,/ˈeɪnʃənt/,a,Cổ đại; cổ xưa
ANGER,Anger,/ˈæŋgər/,n,Sự tức giận
ANGER,Angry,/ˈæŋgri/,a,Tức giận
ANNOY,Annoy,/ə'nɔɪ/,v,Làm phiền; gây khó chịu
ANNOY,Annoyed,/ə'nɔɪd/,a,Khó chịu; bực mình
ANNOY,Annoying,/ə'nɔɪɪŋ/,a,Gây khó chịu; gây bực mình
ANNOY,Annoyance,/ə'nɔɪəns/,n,Sự khó chịu
ANTIBIOTIC,Antibiotic,/ˌæntɪbaɪˈɒtɪk/,n,Thuốc kháng sinh
ANXIETY,Anxiety,/æŋ'zaɪəti/,n,Sự lo lắng
ANXIETY,Anxious,/ˈæŋkʃəs/,a,Lo lắng
APPROXIMATELY,Approximately,/əˈprɒksɪmətli/,adv,Khoảng; xấp xỉ
ARCH,Arch,/ɑːrtʃ/,n,Cổng vòm
ARCHEOLOGY,Archeology,/ˌɑːrkiˈɒlədʒi/,n,Khảo cổ học
ARCHEOLOGY,Archeological,/ˌɑːrkiəˈlɒdʒɪkl/,a,Thuộc khảo cổ học
ARCHEOLOGY,Archeologist,/ˌɑːrkiˈɒlədʒɪst/,n,Nhà khảo cổ học
ARENA,Arena,/ə'riːnə/,n,Đấu trường; nhà thi đấu
ARGUE,Argue,/ˈɑːrgjuː/,v,Tranh cãi
ARGUE,Argument,/ˈɑːrgjumənt/,n,Sự tranh cãi
ASSERTIVE,Assertive,/ə'sɜːrtɪv/,a,Khẳng định; quả quyết
ASTRONAUT,Astronaut,/ˈæstrənɔːt/,n,Phi hành gia
ATTIC,Attic,/ˈætɪk/,n,Gác xép; tầng áp mái
BARCODE,Barcode,/ˈbɑːrkəʊd/,n,Mã vạch
BARGAIN,Bargain,/ˈbɑːrgən/,v,Mặc cả
BARGAIN,Bargain,/ˈbɑːrgən/,n,Món hời
BIG-BRAINED,Big-brained,/ˈbɪg breɪnd/,a,Não to; rất thông minh
BLONDE-HAIRED,Blonde-haired,/blɒnd ˈheərd/,a,Tóc vàng
BLUE-EYED,Blue-eyed,/ˌbluː ˈaɪd/,a,Mắt xanh
BORING,Boring,/ˈbɔːrɪŋ/,a,Nhạt nhẽo; nhàm chán; tẻ nhạt
BORING,Bore,/bɔːr/,v,Làm buồn chán
BORING,Bored,/bɔːrd/,a,Buồn chán; chán nản
BORING,Boredom,/ˈbɔːrdəm/,n,Sự buồn chán
BOTANICAL,Botanical,/bə'tænɪkl/,a,Thuộc thực vật
BRAVE,Brave,/breɪv/,a,Can đảm; dũng cảm
BRAVE,Bravery,/ˈbreɪvəri/,n,Sự dũng cảm; lòng dũng cảm
BROKEN-HEARTED,Broken-hearted,/ˌbrəʊkən ˈhɑːrtɪd/,a,Tan nát con tim; rất buồn
BURY,Bury,/ˈberi/,v,Chôn
BUSINESS,Business,/ˈbɪznəs/,n,Việc kinh doanh
CALCULATE,Calculate,/ˈkælkjuleɪt/,v,Tính toán
CAN,Can,/kæn/,n,Cái lon
CAPACITY,Capacity,/kə'pæsəti/,n,Dung tích; khả năng
CAPSULE,Capsule,/ˈkæpsuːl/,n,Viên con nhộng; viên nang
CARAVAN,Caravan,/ˈkærəvæn/,n,Xe moóc
CELEBRITY,Celebrity,/sə'lebrəti/,n,Người nổi tiếng
CEREMONY,Ceremony,/ˈserəməʊni/,n,Nghi lễ
CHANGING ROOM,Changing room,/ˈtʃeɪndʒɪŋ ruːm/,np,Phòng thay đồ
CHARMING,Charming,/ˈtʃɑːrmɪŋ/,a,Quyến rũ
CHECKOUT,Checkout,/ˈtʃekaʊt/,n,Quầy thu ngân
CHEMISTRY,Chemistry,/ˈkemɪstri/,n,Hoá học
CHEMISTRY,Chemist,/ˈkemɪst/,n,Nhà hóa học
CHEMISTRY,Chemical,/ˈkemɪkl/,n/a,Hóa chất; thuộc hóa học
CITY-DWELLER,City-dweller,/ˈsɪti ˈdwelər/,np,Cư dân thành phố
CLINIC,Clinic,/ˈklɪnɪk/,n,Phòng khám
COLD-BLOODED,Cold-blooded,/ˌkəʊld ˈblʌdɪd/,a,Máu lạnh
COLLABORATE,Collaborate,/kə'læbəreɪt/,v,Hợp tác; cộng tác
COLLABORATE,Collaboration,/kəˌlæbə'reɪʃn/,n,Sự hợp tác
COMMIT,Commit,/kə'mɪt/,v,Phạm phải; cam kết
COMMIT,Commitment,/kə'mɪtmənt/,n,Lời cam kết; sự cam kết
COMMUTE,Commute,/kə'mjuːt/,v,Đi lại
COMMUTE,Commuter,/kə'mjuːtər/,n,Một người đi vào thành phố để làm việc mỗi ngày; thường là từ một nơi khá xa
COMPOSER,Composer,/kəm'pəʊzər/,n,Nhà soạn nhạc
CONCENTRATE,Concentrate,/ˈkɑːnsntreɪt/,v,Tập trung
CONCENTRATE,Concentration,/ˌkɑːnsn'treɪʃn/,n,Sự tập trung
CONSIDER,Consider,/kən'sɪdər/,v,Xem xét; cân nhắc
CONSIDER,Considerate,/kən'sɪdərət/,a,Thận trọng; ân cần
CONSIDER,Considerable,/kən'sɪdərəbl/,a,Đáng kể
CONSIDER,Consideration,/kənˌsɪdə'reɪʃn/,n,Sự cân nhắc
CONSTRUCT,Construct,/kən'strækt/,v,Xây dựng
