Root word,Word,Phonetic,Type,Vietnamese meaning
CONSUMER,Consumer,/kən'suːmər/,n,Người tiêu dùng
CONSUMER,Consume,/kən'suːm/,v,Tiêu thụ
CONSUMER,Consumption,/kən'sʌmpʃn/,n,Sự tiêu thụ
CONVENIENT,Convenient,/kən'viːniənt/,a,Thuận lợi; thuận tiện
COOPERATION,Cooperation,/kəʊˌɒpə'reɪʃn/,n,Sự hợp tác
COOPERATION,Cooperate,/kəʊˈɒpəreɪt/,v,Hợp tác
COST,Cost,/kɔːst/,n,Chi phí
CREATURE,Creature,/ˈkriːtʃər/,n,Sinh vật
CUISINE,Cuisine,/kwɪ'ziːn/,n,Ẩm thực
CURE,Cure,/kjʊər/,v,Chữa trị; chữa bệnh
DECIDE,Decision,/dɪ'sɪʒn/,n,Quyết định
DECIDE,Decided,/dɪ'saɪdɪd/,a,Hiển nhiên; kiên quyết
DECIDE,Decisive,/dɪ'saɪsɪv/,a,Quyết đoán
DECIDE,Undecided,/ˌʌndɪ'saɪdɪd/,a,Chưa quyết định; chưa xác định
DECIDE,Indecisive,/ˌɪndɪ'saɪsɪv/,a,Thiếu quyết đoán; nhu nhược
DEEPFAKE,Deepfake,/ˈdiːpfeɪk/,n,Video giả mạo một ai đó
DELICIOUS,Delicious,/dɪ'lɪʃəs/,a,Thơm ngon
DELIVER,Deliver,/dɪ'lɪvər/,v,Giao hàng
DELIVER,Delivery,/dɪ'lɪvəri/,n,Sự phân phát; sự phân phối; sự giao hàng
DEMOLISH,Demolish,/dɪ'mɒlɪʃ/,v,Phá hủy; phá bỏ
DESCRIBE,Describe,/dɪ'skraɪb/,v,Mô tả; diễn tả
DESCRIBE,Description,/dɪ'skrɪpʃn/,n,Sự miêu tả
DESIGN,Design,/dɪ'zaɪn/,n,Thiết kế
DESIGN,Designer,/dɪ'zaɪnər/,n,Nhà thiết kế
DESTINATION,Destination,/ˌdestɪ'neɪʃn/,n,Điểm đến
DESTROY,Destroy,/dɪ'strɔɪ/,v,Hủy hoại; phá hủy
DESTROY,Destruction,/dɪ'strʌkʃn/,n,Sự phá hủy; sự hủy diệt
DESTROY,Destructive,/dɪ'strʌktɪv/,a,Có tính chất phá hoại
DISCOVER,Discover,/dɪ'skʌvər/,v,Phát hiện; khám phá
DISCOVER,Discovery,/dɪ'skʌvəri/,n,Khám phá
DISGUST,Disgust,/dɪs'gʌst/,n,Sự ghê tởm; kinh tởm
DISGUST,Disgusting,/dɪs'gʌstɪŋ/,a,Kinh tởm
DISGUST,Disgusted,/dɪs'gʌstɪd/,a,Cảm thấy kinh tởm
DISPOSAL,Disposal,/dɪ'spəʊzl/,n,Sự vứt bỏ
DISTINCTIVE,Distinctive,/dɪ'stɪŋktɪv/,a,Đặc biệt; đặc trưng
DISTRACT,Distract,/dɪ'strækt/,v,Làm sao lãng; đánh lạc hướng
DISTRACT,Distraction,/dɪ'strækʃn/,n,Sự sao lãng
DOCUMENT,Document,/ˈdɒkjumənt/,n,Tài liệu; văn bản
DOCUMENT,Documentation,/ˌdɒkjumen'teɪʃn/,n,Sự cung cấp tài liệu
DOMINANT,Dominant,/ˈdɒmɪnənt/,a,Chiếm ưu thế; thống trị
DRUG,Drug,/drʌg/,n,Thuốc; Ma túy
ELECTRICITY,Electricity,/ɪˌlekˈtrɪsɪti/,n,Điện
ELECTRICITY,Electrician,/ɪˌlek'trɪʃn/,n,Thợ điện
ELECTRICITY,Electrify,/ɪ'lektrɪfaɪ/,v,Điện khí hóa
ELECTRICITY,Electric,/ɪ'lektrɪk/,a,Chạy bằng điện
ELECTRICITY,Electrical,/ɪ'lektrɪkl/,a,Thuộc điện
ELECTRONIC,Electronic,/ɪˌlek'trɒnɪk/,a,Điện tử
ELEVATED,Elevated,/ˈelɪveɪtɪd/,a,Cao; nâng cao
EMBARRASS,Embarrass,/ɪm'bærəs/,v,Làm xấu hổ; gây lúng túng; ngượng ngùng
EMBARRASS,Embarrassed,/ɪm'bærəst/,a,Lúng túng; xấu hổ; ngượng ngùng
EMBARRASS,Embarrassing,/ɪm'bærəsɪŋ/,a,Đáng xấu hổ
EMBARRASS,Embarrassment,/ɪm'bærəsmənt/,n,Sự xấu hổ
EMBRACE,Embrace,/ɪm'breɪs/,n/v,Cái ôm; sự ôm/ nắm lấy (thời cơ...)
ENCYCLOPEDIA,Encyclopedia,/ɪnˌsaɪklə'piːdiə/,n,Bách khoa toàn thư
ENERGETIC,Energetic,/ˌenər'dʒetɪk/,a,Tràn đầy năng lượng
ENERGETIC,Energy,/ˈenərdʒi/,n,Năng lượng
ENTER,Enter,/ˈentər/,v,Đi vào; nhập vào
ENTER,Entrance,/ˈentrəns/,n,Cổng vào; lối vào
ENTER,Entry,/ˈentri/,n,Sự đi vào; bài viết
EPIDEMIC,Epidemic,/ˌepɪ'demɪk/,n,Dịch bệnh
